BeerName,BreweryName,BreweryRegion,BeerStyle,BeerStyleRank,BeerABV,BeerScore,BeerScoreRank,BeerAvg,BeerReviews,BeerRating,BeerWants,BeerGots,BeerNotes
Buttercup,Fibonacci Brewing Company,"Ohio, United States",Bock,Not Given,5.0,Not Given,Not Given,3.98,1,0,0,0,None
Pale Bock,Celis Brewery,"Texas, United States",Bock,Not Given,4.9,83,Not Given,3.62,13,36,2,8,None
Brigade,Cartridge Brewing,"Ohio, United States",Bock,Not Given,7.0,Not Given,Not Given,3.94,0,1,0,0,None
German Bock,Ancestry Brewing,"Oregon, United States",Bock,Not Given,7.0,Not Given,Not Given,4.0,0,1,0,0,None
Bock Beer,Falls City Brewing Company,"Kentucky, United States",Bock,Not Given,6.2,Not Given,Not Given,3.92,1,0,0,0,None
Mechanicsbock,Mellow Mink Brewing Company,"Pennsylvania, United States",Bock,Not Given,7.4,Not Given,Not Given,3.92,1,0,0,0, None
Chouffe-Bok 6666,Brasserie d'Achouffe,Belgium,Bock,34,6.66,85,22225,3.76,33,40,19,11,"CHOUFFE BOK 6666 is a seasonal beer brewed especially for the Netherlands. The ""Bok"" beers traditionally appear on the Dutch market at the end of September. CHOUFFE BOK 6666 stands out thanks to its coppery robe, its fresh, fruity nose and a pleasant roundness in the mouth, ending with a hint of bitterness."
Ur-Bock Dunkel,Einbecker Brauhaus,Germany,Bock,39,6.5,84,24021,3.72,200,124,28,17,"At the first sip it is smooth and full-bodied, at the second sip the true rich, strong roasted malt aroma of Einbecker Ur-Bock unfolds. The dark barley-malt brewed refreshment from the Einbecker original recipe."
Bodacious Bock,Altamont Beer Works,"California, United States",Bock,Not Given,4.9,Not Given,Not Given,3.0,0,1,0,0,None
Poppy Bock,Tox Brewing Company,"Connecticut, United States",Bock,Not Given,7.0,Not Given,Not Given,4.16,1,1,0,0,None
Neagră,Șapte Coline,Romania,Bock,Not Given,6.5,Not Given,Not Given,3.56,0,3,0,0,None
Port Phillip,Revolution Brewing,"Illinois, United States",Bock,Not Given,6.66,Not Given,Not Given,3.83,1,1,0,0,None
Agnes,Bohem Brewery,"England, United Kingdom",Bock,Not Given,7.0,Not Given,Not Given,4.0,1,0,0,0,"Agnes is a 7% Czech Bock, created when acclaimed Netherlands craft brewer, Kees Bubberman visited Bohem’s Tottenham brewery. We used Munich 1 as our base malt, along with Pilsen, Cara Munich 3 and Roasted Barley, as well as Tettnanger and Saaz hops, to come up with a beer that has the character of a great Bock, but also some of our Czech brewing magic in it. As a result, Agnes is a 7% deep chestnut coloured bock beer that oozes caramel richness, with a mouthfeel of praline creaminess. The combination of malts delivers a rich flavour profile, with the taste-buds enlivened by a crispness in the finish, while the hop flavour bringing drinkability to this full bodied collaboration beer. The beer is named for Agnes of Prague, a medieval Bohemian princess known for her good works and charitable outlook, and we hope that Bohem and Brouwerij Kees have done her proud."
Henrici Bock,Schlossbrauerei Reckendorf,Germany,Bock,Not Given,7.0,Not Given,Not Given,4.16,3,0,0,1,None
Eye Candy,Millstream Brewing Company,"Iowa, United States",Bock,Not Given,6.0,Not Given,Not Given,0.0,0,0,0,0,None
DZ Bock,Greenspring Brewing Company,"Maryland, United States",Bock,Not Given,5.5,Not Given,Not Given,0.0,0,0,0,0,None
Duckstein Rubin Bock,Duckstein GmbH,Germany,Bock,Not Given,6.8,Not Given,Not Given,3.86,0,2,0,0,None
Heller Bock,Private Landbrauerei Schönram,Germany,Bock,Not Given,7.8,Not Given,Not Given,4.46,0,1,0,0,None
Bock In the Groove,Maplewood Brewery & Distillery,"Illinois, United States",Bock,Not Given,6.2,Not Given,Not Given,3.51,0,2,0,0,A traditional style bock beer brewed with a blend of the finest German malts. Dark amber
Heller Bock,Mahr's Bräu,Germany,Bock,Not Given,6.8,Not Given,Not Given,3.7,5,0,1,0,None
Heller Bock,March First Brewing,"Ohio, United States",Bock,Not Given,6.2,Not Given,Not Given,3.84,4,2,0,1,None
Maltumnal,Valley Vinyards / Cellar Dweller Craft Beers,"Ohio, United States",Bock,Not Given,7.0,Not Given,Not Given,3.73,0,1,0,0,None
Genesee Spring Bock,Genesee Brewing Co. / Dundee Brewing Co.,"New York, United States",Bock,83,5.2,79,28540,3.47,169,184,19,52,"Formerly Genesee Bock BeerOur take on the 16th century German legend has turned out to be a legend in its own right. For every spring since 1951, our brewery has carefully crafted and lagered Genesee Bock Beer. The result is an exceptionally hearty, full-flavored beer with a slight malty finish—and a perfect way to celebrate the snow melt."
Door Stop,Falling Sky Brewing,"Oregon, United States",Bock,Not Given,6.6,Not Given,Not Given,0.0,0,0,0,0,None
Wine Barrel Bock,Ponderosa Brewing Company,"New Mexico, United States",Bock,Not Given,5.8,Not Given,Not Given,0.0,0,0,0,0,None
Deitz Bock,"Bodacious Berries, Fruits And Brews / Big Barn Brewery","Washington, United States",Bock,Not Given,5.9,Not Given,Not Given,4.24,1,0,0,0,None
A Long Way,Warfield Distillery & Brewery,"Idaho, United States",Bock,Not Given,5.0,Not Given,Not Given,3.42,1,0,0,0,None
Bock,Blackrocks Brewery,"Michigan, United States",Bock,Not Given,6.5,Not Given,Not Given,3.96,3,3,1,1,"Blackrocks Bock is traditional German Style Bock Beer. The Bock is a satisfying, full bodied lager brewed with 100% German malt. This beer drinks with a rich malty body, flavors or caramel, dark fruits and some roast all balanced out with a touch of spicy hops."
Bockaneer,Under The Radar Brewery,"Texas, United States",Bock,Not Given,6.8,Not Given,Not Given,3.67,0,3,0,1,Midtown Bock aged on oak chips soaked in rum.
Red Bus Summer Bock,Tamarack Brewing Company,"Montana, United States",Bock,Not Given,6.6,Not Given,Not Given,3.64,0,1,0,0,None
Bock,Theresianer HTS 1892 Spa,Italy,Bock,Not Given,6.5,Not Given,Not Given,3.61,2,2,0,1,None
Lazy Beach Texas Bock,Lazy Beach Brewing,"Texas, United States",Bock,Not Given,4.5,Not Given,Not Given,3.57,1,7,0,7,None
Nock You on Your Bock,Bywater Brew Pub,"Louisiana, United States",Bock,Not Given,8.0,Not Given,Not Given,3.75,1,0,0,0,None
Bohemia Bock,Sociedade Central de Cervejas,Portugal,Bock,Not Given,6.5,Not Given,Not Given,3.05,2,4,0,0,None
La Trappe Bockbier,Bierbrouwerij De Koningshoeven B.V.,Netherlands,Bock,3,7.0,89,11496,3.99,123,180,131,41,"This unique seasonal product is the world’s only Trappist bock ale. Brewed exclusively with natural ingredients, this ale post-ferments slightly in its bottle. It has a deep red colour, an intensely rich taste, and a malty aroma. Aromatic hop varieties and types of burnt malt render this ale its delicate bitterness that blends surprisingly well with its slightly sweet undertone."
Bokbier,Jopen Bier BV Haarlem,Netherlands,Bock,28,6.5,86,21099,3.79,53,28,4,11,None
Access denied,www.beeradvocate.com used Cloudflare to restrict access,Not Given,Not Given,Not Given,0.0,Not Given,Not Given,0.0,0,0,0,0,Not Given
Bock,Great Central Brewing Company,"Illinois, United States",Bock,Not Given,7.1,Not Given,Not Given,4.01,2,0,0,0,"This German style lager is higher in alcohol content from the robust malt bill, yet dangerously crushable. 7.1% ABV | 19 IBU"
Skånsk Larger,Hyllie Bryggeri,Sweden,Bock,Not Given,6.5,Not Given,Not Given,4.33,1,0,0,0,None
Cafe Au Lait Bayern Kurve,16 Lots Brewing Company,"Ohio, United States",Bock,Not Given,6.9,Not Given,Not Given,0.0,0,0,0,0,Bock Beer with coffee and lactose.
Bock 3D,Microbrasserie Charlevoix,"Quebec, Canada",Bock,Not Given,7.0,Not Given,Not Given,3.73,1,0,0,0,None
Einsiedler Winterbock Zwickel,Einsiedler Brauhaus GmbH,Germany,Bock,Not Given,6.2,Not Given,Not Given,3.5,0,1,0,0,None
Bourbon Barrel Bock,Weldebräu,Germany,Bock,59,6.6,84,24690,3.63,10,15,0,5,"Cuvée aged in Bourbon, Rum and Tequila barrels for 3 months."
Beanie Weather,Forbidden Root - Chicago,"Illinois, United States",Bock,Not Given,6.5,Not Given,Not Given,3.69,1,2,0,0,Bock brewed with orange and spices.
Olde Omen,Modist Brewing Co.,"Minnesota, United States",Bock,Not Given,6.5,Not Given,Not Given,3.99,6,1,0,0,None
Broad Street Bock,Dirty Job Brewing,"Texas, United States",Bock,Not Given,5.6,Not Given,Not Given,3.64,0,1,0,0,None
Bock,Peg Leg Brewing,"Nebraska, United States",Bock,Not Given,4.8,Not Given,Not Given,3.3,1,0,0,0,None
Bock Soon! Helles Bock,Imminent Brewing,"Minnesota, United States",Bock,Not Given,6.2,Not Given,Not Given,3.78,1,0,0,0,None
Zywiec Bock,Zywiec Breweries PLC (Heineken),Poland,Bock,36,6.5,85,22477,3.75,25,36,4,11,None
Norrlands Djup,Spendrups Bryggeri AB,Sweden,Bock,Not Given,6.8,Not Given,Not Given,0.0,0,0,0,0,None
Krampus Bock,Farnam House Brewing Company,"Nebraska, United States",Bock,Not Given,7.5,Not Given,Not Given,3.92,0,1,0,0,None
Zondebok,Bierbrouwerij Vermeersen,Netherlands,Bock,Not Given,8.0,Not Given,Not Given,3.11,3,2,0,0,None
Steam Brew German Red,Privatbrauerei Eichbaum,Germany,Bock,92,7.9,77,29217,3.24,12,23,0,2,None
30 Point Bock,Vintage Brewing Company,"Wisconsin, United States",Bock,45,6.7,85,21273,3.73,1,12,0,0,None
Shiner Bock,Spoetzl Brewery,"Texas, United States",Bock,96,4.5,74,29833,3.21,1216,3279,108,1350,"Tip back a bock. Brewed with rich roasted barley malt and German specialty hops, this lightly hopped American-styled dark lager always goes down easy. Originally a seasonal beer, fans have demanded it year-round since 1973."
Stallhagen Jolly Bock,Stallhagens Bryggeri Ab,Aland,Bock,Not Given,6.5,Not Given,Not Given,2.79,0,3,0,0,None
Schell's Bock,August Schell Brewing Company,"Minnesota, United States",Bock,21,6.5,87,18749,3.85,98,129,14,28,"Each year the promise of spring was confirmed as the first keg of Schell's Bock rolled onto waiting delivery wagons. And since 1860, Schell's Bock has continued in the true German tradition. Completely reformulated for 2009, Schell's Bock has replaced Caramel Bock as our late winter seasonal. Brewed with a harmonious blend of 10 different types of malt and noble hops, Schell's Bock is fermented slowly, and then lagered for an extended period of time to ensure a smooth finish. Perfect for passing even the coldest winter day.This dark amber colored beer sports a robust malt character."
3 Best Friends,Sudwerk Brewing Company,"California, United States",Bock,44,8.0,84,23652,3.71,12,43,4,18,"3 Best Friends incorporates Madagascar vanilla, cacao nibs, and Honduran coffee. It's the black sheep of the bunch-in a delicious, well-lagered fashion."
Koźlak,Browar Amber,Poland,Bock,70,6.5,82,26688,3.6,67,46,4,14,"Hops are not the only thing that is important in beer. This is just one element of many. Therefore, in the era of admiration for hops, it is sometimes worth looking at beers that focus more on malts.We did it and we brewed our Koźlak, or Bock. An unique beer with a characteristic ruby ​​color and an essential caramel-hoppy flavor. The durable, fine-bubble head is light and only slightly tinged with the color of the beer. The aroma, of course, has hints of malty, reminiscent of dark bread. In addition, a delicate plum and raisins. Strong malt flavors are well-balanced with bitterness.The Polish name “koźlak” is a translation from German, where “bock” means a goat. The word “bock” itself comes from the Hanseatic city of Einbeck in northern Germany. This is where, since the 13th century, strong top-fermented beer has been brewed using wheat malt and barley malt. Almost every inhabitant of this city was involved (directly or indirectly) in brewing. Great importance was attached to the quality of the beer, so the beer was always tasted before being sold. The one that did not pass the “check” was simply poured out. Such good and even quality gained fame and popularity outside the country.We have been brewing Koźlak since 2003."
Buho Amber Bock,Domingo 7: La Micro Brewing Co.,Costa Rica,Bock,82,5.8,81,27403,3.31,4,7,1,6,None
Bock On the Scene,Aurora Brewing Co.,"New York, United States",Bock,Not Given,6.5,Not Given,Not Given,3.78,1,2,0,0,None
Seth Bullock Bock,Firehouse Brewing Co.,"South Dakota, United States",Bock,Not Given,5.1,Not Given,Not Given,3.5,0,1,0,0,None
Beep Bock Boop,SoMe Brewing Company,"Maine, United States",Bock,Not Given,7.0,Not Given,Not Given,0.0,0,0,0,0,None
Bock,Prost Brewing Co. - Denver,"Colorado, United States",Bock,Not Given,7.5,Not Given,Not Given,3.99,1,1,0,0,None
Bock Me Baby,Bacuit Bay Brewhouse,Philippines,Bock,Not Given,6.8,Not Given,Not Given,3.56,0,1,0,0,None
Winter Bock,St. Boniface Craft Brewing Company,"Pennsylvania, United States",Bock,Not Given,7.9,Not Given,Not Given,4.69,1,0,0,0,None
Bishop Bock,Church Street Brewing Company,"Illinois, United States",Bock,Not Given,7.0,Not Given,Not Given,3.67,2,2,0,0,None
Apricot Bock,Sakiškių Alus,Lithuania,Bock,Not Given,6.7,Not Given,Not Given,4.44,0,1,0,0,None
Crawford Bock,Karbach Brewing Co.,"Texas, United States",Bock,80,4.5,80,28145,3.48,24,61,3,17,"What's even easier than jacking a dinger into the Crawford Boxes? How about cracking open a delicious Crawford Bock? Karbach Crawford Bock is so smooth you can easily stretch that single into a double. Pairs perfectly with peanuts, stadium dogs, and a good 7th inning stretch!"
Poretti 6 Luppoli Bock Rossa,Carlsberg Italia S.p.A.,Italy,Bock,75,7.0,82,26615,3.54,4,26,3,15,None
